gene
SVEP1
SWAP70
SWSAP1
SYMPK
TAB2
TAF6
TAS2R1
TBC1D7-LOC100130357
TBX2
TBX20
TBXAS1
TCF21
TCF7L2
TCTA
TDRD15
TDRKH
TEK
TENT4A
TGFB1
THADA
THSD7A
TLCD5
TLNRD1
TMED10
TMEM106B
TMEM17
TMEM204
TMEM91
TMOD4
TNS1
TNXB
TOMM40
TRIB1
TRIM22
TRIM5
TRPA1
TSPAN14
TSPAN9
TTC29
TTC32
TTC34
TTC39B
TWIST1
TXNL4B
UBE3B
UMPS
UNC5C
USP43
VAMP5
VAMP8
VANGL1
VAT1
VEGFA
VPS11
VPS33B
VWDE
WBP1L
WDR11
WDR12
WDR33
WNT9B
WT1
XKR4
YBX3
ZBTB46
ZC3HC1
ZEB2
ZFPM2
ZHX3
ZNF32
ZNF335
ZNF507
ZNF652
ZNF77
ZNF787
ZNF827
ZNF831
ZNRD2
ZPR1
