rank,gene,score
223,FOXP2,0.07986174821853642
224,DNAH5,0.07970860603088492
225,RET,0.07950120270252226
226,LPAR6,0.07939799970541245
227,LYN,0.07878535985946655
228,LPCAT2,0.0787229984998703
229,HAPLN2,0.07833705269373381
230,DOCK8,0.07829913475479072
231,SLC2A5,0.07720772624015804
232,ADM,0.07665864364568126
233,CTXND1,0.07629851102828977
234,HILPDA,0.0758797407150269
235,HMOX1,0.07571254681040362
236,RBFOX1,0.0751669822808575
237,PIP5K1B,0.07478239788458896
238,CNDP1,0.07473787864049275
239,MOBP,0.07457969784736629
240,ESR1,0.07452167357717243
241,KCNT2,0.07387690365314481
242,FGL1,0.07378813624382019
243,MYO1F,0.07338803112506864
244,CSMD1,0.0731339343388876
245,CYP4F12,0.0728724027673403
246,MERTK,0.07265910607326831
247,PPP1R3C,0.07265838496556443
248,CPVL,0.07254866891437106
249,KCTD16,0.07253820449113846
250,CD96,0.07251041418030146
251,CLSTN2,0.07236085299934658
252,SLC25A21,0.07103972755945642
253,YWHAB,0.0708256440450532
254,GFRA1,0.07078772510364384
255,IL15,0.07068087061246231
256,CDH12,0.07056494597550278
257,MEF2A,0.07000418853192103
258,TUBB2B,0.06969835125536772
259,PRR16,0.06956201667009404
260,HLA-DRA,0.0695362456304871
261,CHODL,0.06937930349479704
262,ADAMTS18,0.06937426115785328
263,ACTG1,0.06932245323509012
264,CPXM2,0.06931108952078047
265,FOS,0.0692834274469134
266,CEMIP,0.0689632329065496
267,USH1C,0.0689249168271604
268,TOX3,0.06878451175159883
269,CHST2,0.06877736250559485
270,TUBA1A,0.06860831428065572
271,GNG2,0.06860582033793128
272,DYNC1I1,0.0684625084163345
273,B3GNT5,0.06835093766778377
274,SCN9A,0.06795927551057601
275,SH3RF3,0.06787402912393803
276,NEFH,0.06746172346174717
277,EPSTI1,0.06723963386482668
278,GABBR2,0.06684255599975586
279,P2RY12,0.06663917377591133
280,CNTNAP5,0.0666273395220438
281,ROR1,0.06645609766259719
282,SRGAP2C,0.06601270288228989
283,PLCB4,0.06595131842529073
284,GRIA1,0.06574724030991397
285,LMO3,0.06567241113437777
286,KCNQ5,0.06546734521786368
287,FGD2,0.06543618440628052
288,SYNPO2,0.06508586141798234
289,ROBO2,0.06505516628995239
290,CFAP54,0.06501825045848236
291,NRXN3,0.06498509330505137
292,PELI1,0.06489091015278742
293,MDGA2,0.0648316834640304
294,TBC1D9,0.06445277375834324
295,GADD45G,0.0643665933090708
296,SLC4A4,0.06436527521935131
297,MEGF11,0.06420402388487545
298,RNF144B,0.06417917889707236
299,SULF1,0.06415442316620434
300,GPM6A,0.0641380888334806
301,PLAGL1,0.06411861762022353
302,HSP90AB1,0.06396981212410385
303,CTSS,0.06386624276638031
304,CLDND1,0.06360647862865809
305,C1QA,0.06357365198757337
306,FCGR2A,0.0634596049785614
307,AFF3,0.06340413093566899
308,NCDN,0.06270729596798241
309,KIAA1217,0.06265684823347062
