rank,gene,score
517,GRIP1,0.0513582635776475
518,PCSK5,0.051297649995893424
519,ZNF804A,0.05128456904874207
520,RSPO2,0.0512648316530081
521,PLEKHA5,0.051118175613648065
522,NRXN1,0.05102076375295539
523,B3GNT5,0.05094900993364193
524,XKR6,0.05082886124569219
525,S100B,0.05065656868681406
526,ROBO2,0.050655041952851865
527,KIRREL3,0.050559142002692625
528,CPA6,0.05041247978806496
529,KLHL1,0.05034810785324345
530,ID3,0.05019315605362262
531,CLSTN3,0.05016804074817016
532,SNTG1,0.05015330262236539
533,AKAP12,0.04971391462627872
534,ABTB2,0.049685776233673096
535,CABLES1,0.049504529346119264
536,ACACB,0.04920122624410306
537,SLC25A18,0.049137183598109646
538,NLGN1,0.049100785092873966
539,SNED1,0.04898036863658062
540,STXBP1,0.048677046118038025
541,SCN1A,0.04867406189441681
542,MSR1,0.04865160525629397
543,CLSTN2,0.04844599990349896
544,DLGAP2,0.048310012914813516
545,NCK2,0.04823567987215227
546,C8orf34,0.048127028048569775
547,APOC1,0.0481101152087961
548,POU6F2,0.04807422689178542
549,PLXDC2,0.04777982432481853
550,NSF,0.04762453601151584
551,SLIT2,0.04758987620268773
552,ETV6,0.047359478473663286
553,CD83,0.04731659740209582
554,AOAH,0.04730695649817751
555,CA8,0.04723884591034477
556,LDHA,0.04717561625695044
557,CADM3,0.04696979001164436
558,SP100,0.04694675476778121
559,ATP1A2,0.04693059053491144
560,SETBP1,0.04677286744117737
561,GRIN2A,0.04676241503109668
562,OXR1,0.04672352822595516
563,NEFM,0.04665160951779479
564,CACNA1C,0.04658675128998968
565,NTRK2,0.04642276115094146
566,FYB1,0.046421368866015555
567,CHST11,0.046366687004382845
568,PLCE1,0.046154575565686584
569,HPGDS,0.04599582227793608
570,LHFPL3,0.04591001719236376
571,ST6GAL1,0.04587161309189269
572,SCG2,0.04568804052597719
573,ZNF385D,0.04555997417678492
574,ALDH1A1,0.04555888825238308
575,AGPAT4,0.04548215213127821
576,NEFL,0.04533038046619742
577,PHACTR2,0.0452903032302856
578,DYSF,0.045189248578653585
579,FGF12,0.04517649228557896
580,CPE,0.044984031078688425
581,MAP1B,0.044936427432094805
582,INA,0.044863934983328635
583,ADAMTS19,0.044779928289672255
584,UGCG,0.044686400053793984
585,MDH1,0.04457629213184244
586,NR4A3,0.044520517641847834
587,CACNA1A,0.04446561932563786
588,WWC1,0.044444348844322024
589,TMEM59L,0.04432284561070532
590,TMEM132B,0.04432208727103537
591,HSPB8,0.04424944851133561
592,DLGAP1,0.044087064792128206
593,TMC1,0.043958970242076456
594,KCNK12,0.04391629896798044
595,ARHGAP18,0.04386357675518909
596,KCTD16,0.04365037582618625
597,MRAS,0.043540523602412284
598,NOL4,0.043532815575599626
599,RORB,0.04331333116906716
600,ACTN2,0.04329441565248082
601,IL1B,0.043133991956710804
602,SLC35F1,0.04309715048160434
603,NCDN,0.04299408646134317
604,IPCEF1,0.04273866485826894
605,FSTL5,0.04263808005131209
606,SV2C,0.04259581443636529
607,GFRA1,0.042585816234350204
608,THY1,0.04251023031996959
609,RFC3,0.042420864463425634
610,SYNPO2,0.042391009273983093
