cell_type,disease,distance,ontology,method,scope,n_genes,n_annotated,n_ref_genes,mean,median,std,max,skew,p10,p25,p75,p90,p95,bestmatch_mean,bestmatch_median,bestmatch_max
da_neurons,parkinson,SimRel,BP,ig_lora,annotated,29,29,184,0.1313118514445312,0.1054845750937626,0.1188617189706618,0.7146368956333466,1.0645382601406321,0.0035450407058287003,0.03040653527616157,0.20048788060746758,0.29706656068859877,0.36059988404872995,0.515197267075887,0.5157803206994819,0.7146368956333466
da_neurons,parkinson,SimRel,BP,all_methods,all,60,58,184,0.1329348249487595,0.10499005271835622,0.12472903043215935,0.7657228769266734,1.0742698922661686,0.0,0.0240156391391702,0.20495819416346758,0.31131519269336594,0.3742634998846314,0.5199153467410506,0.5312793018596154,0.7657228769266734
da_neurons,parkinson,SimRel,BP,all_methods,annotated,58,58,184,0.1375187844297512,0.11063514330283314,0.12435196093195632,0.7657228769266734,1.0529423401969895,0.0037755297432640316,0.03237977385690566,0.2088360912987461,0.3157354949359822,0.377529368478188,0.5378434621459145,0.5337605336438869,0.7657228769266734
microglia,parkinson,SimRel,BP,attention_zero_shot,all,30,27,184,0.11560911196641294,0.0822618933530218,0.12299851377373834,0.8554428524471466,1.3727399452829439,0.0,0.008527810019022176,0.17919407475821852,0.28683124837248253,0.36534801125228744,0.4955426098860253,0.5128860674104287,0.8554428524471466
microglia,parkinson,SimRel,BP,attention_zero_shot,annotated,27,27,184,0.12845456885156994,0.09817539583068007,0.12312406808334364,0.8554428524471466,1.298463955922928,0.004775606902281242,0.026705545598258967,0.1928487032070647,0.2992934382579241,0.3735062938931146,0.5506028998733614,0.5306867293694334,0.8554428524471466
microglia,parkinson,SimRel,BP,ig_lora,all,30,28,184,0.12716557069935683,0.10080752259517962,0.12076761285385594,0.9861993428258489,1.1522854211241844,0.0,0.021746309925456318,0.19685474321773422,0.2937200111742145,0.357494890266164,0.5102965622403391,0.5281219652939505,0.9861993428258489
microglia,parkinson,SimRel,BP,ig_lora,annotated,28,28,184,0.13624882574931085,0.11322223137543552,0.11995418322746462,0.9861993428258489,1.1173767956188947,0.004681014502519183,0.03605494774460812,0.2055893478428964,0.29956671398666684,0.3636201889075202,0.5467463166860776,0.5364566247251519,0.9861993428258489
microglia,parkinson,SimRel,BP,all_methods,all,60,55,184,0.12138734133288487,0.09142280911855838,0.12202505188319006,0.9861993428258489,1.2588484777166515,0.0,0.010568561690602475,0.1893098833214365,0.2904330434744404,0.3623706743712779,0.5029195860631822,0.5245410267979687,0.9861993428258489
microglia,parkinson,SimRel,BP,all_methods,annotated,55,55,184,0.13242255418132898,0.10529877507728735,0.12158309454127594,0.9861993428258489,1.2057543987730583,0.004734453111124808,0.031985677553223846,0.20012790462940527,0.29935494055308964,0.3689613618383911,0.5486395484325625,0.5306867293694334,0.9861993428258489
oligodendrocytes,parkinson,SimRel,BP,attention_zero_shot,all,30,26,184,0.11497113745605392,0.07878196634586522,0.12668400819071385,0.9856425702811246,1.4415304683917816,0.0,0.006246258926176253,0.18229149949174317,0.2913152489001641,0.3633403443042725,0.5103488501479668,0.5275306066962617,0.9856425702811246
oligodendrocytes,parkinson,SimRel,BP,attention_zero_shot,annotated,26,26,184,0.13265900475698528,0.10252153581663037,0.12716695737602215,0.9856425702811246,1.3381518732545445,0.004390583333959701,0.02728350548079246,0.20069593473496436,0.30662452087356123,0.38144745589686646,0.5888640578630386,0.5457093728358485,0.9856425702811246
oligodendrocytes,parkinson,SimRel,BP,ig_lora,all,30,29,184,0.13948018838696252,0.11447141686718691,0.12307742746490614,0.755073637688124,0.9974201226937286,0.0023487532971425487,0.03673831528363009,0.21113227733735693,0.31397927243922397,0.3775644412245634,0.5062758985894477,0.5284169680623728,0.755073637688124
oligodendrocytes,parkinson,SimRel,BP,ig_lora,annotated,29,29,184,0.14428985005547845,0.11980459864693144,0.12237816165805021,0.755073637688124,0.9826906167960774,0.0049419781536195855,0.04432702278210548,0.21537097704788083,0.31782615199440056,0.38197015570048876,0.5237336881959804,0.5295007283330334,0.755073637688124
oligodendrocytes,parkinson,SimRel,BP,all_methods,all,60,55,184,0.12722566292150822,0.09803436802431495,0.125493501567633,0.9856425702811246,1.2035518791696342,0.0,0.016776526158452394,0.19738128621359166,0.3033789617246776,0.37229119573248504,0.5083123743687074,0.5284169680623728,0.9856425702811246
oligodendrocytes,parkinson,SimRel,BP,all_methods,annotated,55,55,184,0.13879163227800898,0.1120186661854135,0.12480004727706645,0.9856425702811246,1.1524636268873782,0.004638824606205659,0.03584673196141436,0.2083240509835646,0.3118271976647673,0.3818067234798128,0.554522590220408,0.5443995417052574,0.9856425702811246
astrocytes,parkinson,wang,BP,attention_zero_shot,all,30,27,184,0.15661971799675134,0.1468663679358188,0.1116882016139183,1.0,0.7413412344541572,0.0,0.07977973962458068,0.22170719663415023,0.3027115307910399,0.35946683736511564,0.4671680560032502,0.4909987373165219,1.0
astrocytes,parkinson,wang,BP,attention_zero_shot,annotated,27,27,184,0.17402190888527924,0.16044956321200726,0.10407651112023512,1.0,0.8903389204202803,0.05584054725900371,0.10123467179734097,0.2311536146033194,0.31116954968027927,0.3665793570164823,0.5190756177813891,0.4976679234820498,1.0
astrocytes,parkinson,wang,BP,ig_lora,all,30,28,184,0.16541781941504963,0.154681143742108,0.10773974452921087,1.0,0.6896794838776843,0.0,0.09543257484586085,0.22875367450561376,0.30736368258676994,0.35739542484985803,0.47545684161620405,0.49754379021780193,1.0
astrocytes,parkinson,wang,BP,ig_lora,annotated,28,28,184,0.17723337794469604,0.16238839363270474,0.10169991900583915,1.0,0.8358271503449353,0.061563630868345535,0.10823342859855353,0.2352804404194361,0.31173830225016375,0.36164517317680184,0.50941804458879,0.5018589932723883,1.0
astrocytes,parkinson,wang,BP,all_methods,all,60,55,184,0.1610187687059005,0.1505228403862864,0.10981987576311998,1.0,0.7112095139817929,0.0,0.08776847473447469,0.22528977405765835,0.305152668269137,0.35847450195220526,0.4713124488097271,0.4942822805426237,1.0
astrocytes,parkinson,wang,BP,all_methods,annotated,55,55,184,0.1756568385882551,0.16158063176281828,0.10288599758394257,1.0,0.8623078146268439,0.05883517055352502,0.10492520451740107,0.23323901719824294,0.3113175910063026,0.3630925145128027,0.5141590350651568,0.4976679234820498,1.0
da_neurons,parkinson,wang,BP,attention_zero_shot,all,30,29,184,0.17209439554461214,0.15962907553721734,0.10822876111861082,0.710709109207691,0.7066632139516907,0.041249666300023004,0.09909013475127616,0.2333257642487077,0.31988166518231465,0.37377057277490533,0.48629685543729045,0.4921452514619401,0.710709109207691
da_neurons,parkinson,wang,BP,attention_zero_shot,annotated,29,29,184,0.1780286850461505,0.1638368310978788,0.10517083033634643,0.710709109207691,0.7782968196545145,0.05677677627623058,0.10521359417809432,0.2370488466386147,0.3220725618241945,0.37647317180973233,0.5030657125213349,0.492690736930074,0.710709109207691
da_neurons,parkinson,wang,BP,ig_lora,all,30,29,184,0.16742935376117032,0.16030414005182328,0.10223760973701211,0.6407903237640313,0.5776250155871995,0.038851571443166866,0.09633341859905352,0.22837132836035087,0.30052852176795175,0.35055855930689556,0.46254105886398417,0.49041667176981735,0.6407903237640313
da_neurons,parkinson,wang,BP,ig_lora,annotated,29,29,184,0.1732027797529348,0.16402340474923693,0.09906052414254136,0.6407903237640313,0.6483495025691288,0.05577262553824212,0.10275834523900379,0.2315764969957959,0.30369863921021867,0.35193905980173334,0.47849075054894913,0.492690736930074,0.6407903237640313
