cell_type,method,gene,ontology,annotated
microglia,ig_lora,SV2C,BP,True
microglia,ig_lora,SERPINE1,BP,True
microglia,ig_lora,ETNPPL,BP,True
microglia,ig_lora,SLC39A12,BP,True
microglia,ig_lora,ATP6V0D2,BP,True
microglia,ig_lora,APOE,BP,True
microglia,ig_lora,SNCG,BP,True
microglia,ig_lora,CD83,BP,True
microglia,ig_lora,APOC1,BP,True
microglia,ig_lora,AQP4,BP,True
microglia,ig_lora,TPD52L1,BP,True
microglia,ig_lora,ID2,BP,True
microglia,ig_lora,TNFRSF11B,BP,True
microglia,ig_lora,SPP1,BP,True
microglia,ig_lora,SLC11A1,BP,True
microglia,ig_lora,VGF,BP,True
microglia,ig_lora,GPAT3,BP,True
microglia,ig_lora,RANBP3L,BP,True
oligodendrocytes,attention_zero_shot,CCL4,BP,True
oligodendrocytes,attention_zero_shot,ITGA4,BP,True
oligodendrocytes,attention_zero_shot,MARCO,BP,True
oligodendrocytes,attention_zero_shot,FGL1,BP,True
oligodendrocytes,attention_zero_shot,CCL3,BP,True
oligodendrocytes,attention_zero_shot,F5,BP,True
oligodendrocytes,attention_zero_shot,HES1,BP,True
oligodendrocytes,attention_zero_shot,SLC16A10,BP,True
oligodendrocytes,attention_zero_shot,RBMS3,BP,True
oligodendrocytes,attention_zero_shot,BICC1,BP,True
oligodendrocytes,attention_zero_shot,NRP1,BP,True
oligodendrocytes,attention_zero_shot,ACSBG1,BP,True
oligodendrocytes,attention_zero_shot,SYT1,BP,True
oligodendrocytes,attention_zero_shot,CENPF,BP,True
oligodendrocytes,attention_zero_shot,CD69,BP,True
oligodendrocytes,attention_zero_shot,KCNJ3,BP,True
oligodendrocytes,attention_zero_shot,CALY,BP,True
oligodendrocytes,attention_zero_shot,KCNQ5,BP,True
oligodendrocytes,attention_zero_shot,STMN2,BP,True
oligodendrocytes,attention_zero_shot,VAV3,BP,True
oligodendrocytes,attention_zero_shot,NRG3,BP,True
oligodendrocytes,attention_zero_shot,RGS1,BP,True
oligodendrocytes,attention_zero_shot,THSD7B,BP,True
oligodendrocytes,attention_zero_shot,GABRB2,BP,True
oligodendrocytes,attention_zero_shot,NRG1,BP,True
oligodendrocytes,attention_zero_shot,STAB1,BP,True
oligodendrocytes,attention_zero_shot,GAP43,BP,True
oligodendrocytes,attention_zero_shot,ELAVL2,BP,True
oligodendrocytes,attention_zero_shot,LRRC3B,BP,False
oligodendrocytes,attention_zero_shot,SAMD5,BP,True
oligodendrocytes,ig_lora,CD163,BP,True
oligodendrocytes,ig_lora,ID2,BP,True
oligodendrocytes,ig_lora,HES1,BP,True
oligodendrocytes,ig_lora,MS4A4A,BP,False
oligodendrocytes,ig_lora,PPP1R3C,BP,True
oligodendrocytes,ig_lora,NR4A3,BP,True
oligodendrocytes,ig_lora,ETNPPL,BP,True
oligodendrocytes,ig_lora,ID3,BP,True
oligodendrocytes,ig_lora,ANGPTL4,BP,True
oligodendrocytes,ig_lora,DUSP1,BP,True
oligodendrocytes,ig_lora,PLEK,BP,True
oligodendrocytes,ig_lora,ADM,BP,True
oligodendrocytes,ig_lora,SERPINE1,BP,True
oligodendrocytes,ig_lora,GADD45G,BP,True
oligodendrocytes,ig_lora,SRGN,BP,True
oligodendrocytes,ig_lora,CH25H,BP,True
oligodendrocytes,ig_lora,ATP6V0D2,BP,True
oligodendrocytes,ig_lora,SVEP1,BP,True
oligodendrocytes,ig_lora,AHCYL1,BP,True
oligodendrocytes,ig_lora,SLC2A3,BP,True
oligodendrocytes,ig_lora,HBB,BP,True
oligodendrocytes,ig_lora,TYK2,BP,True
oligodendrocytes,ig_lora,IL1B,BP,True
oligodendrocytes,ig_lora,OLR1,BP,True
oligodendrocytes,ig_lora,OPALIN,BP,True
oligodendrocytes,ig_lora,CCL3,BP,True
oligodendrocytes,ig_lora,SELENOP,BP,True
oligodendrocytes,ig_lora,LIPG,BP,True
oligodendrocytes,ig_lora,PLAC8,BP,True
oligodendrocytes,ig_lora,CD69,BP,True
astrocytes,attention_zero_shot,NR4A3,CC,True
astrocytes,attention_zero_shot,PLA2G4A,CC,True
astrocytes,attention_zero_shot,CR1,CC,True
astrocytes,attention_zero_shot,CEBPD,CC,True
astrocytes,attention_zero_shot,ITGA4,CC,True
astrocytes,attention_zero_shot,MX2,CC,True
astrocytes,attention_zero_shot,GFRA1,CC,True
astrocytes,attention_zero_shot,ANKRD22,CC,False
astrocytes,attention_zero_shot,CD69,CC,True
astrocytes,attention_zero_shot,ST8SIA4,CC,True
astrocytes,attention_zero_shot,CD163,CC,True
astrocytes,attention_zero_shot,MS4A4E,CC,True
astrocytes,attention_zero_shot,OLR1,CC,True
astrocytes,attention_zero_shot,ID2,CC,True
astrocytes,attention_zero_shot,CSF3R,CC,True
astrocytes,attention_zero_shot,TUBB2B,CC,True
astrocytes,attention_zero_shot,CD86,CC,True
astrocytes,attention_zero_shot,ADM,CC,True
astrocytes,attention_zero_shot,ANGPTL4,CC,True
astrocytes,attention_zero_shot,HES1,CC,True
astrocytes,attention_zero_shot,ID3,CC,True
astrocytes,attention_zero_shot,IFI44L,CC,True
astrocytes,attention_zero_shot,F13A1,CC,True
astrocytes,attention_zero_shot,CMKLR1,CC,True
astrocytes,attention_zero_shot,HSP90AA1,CC,True
astrocytes,attention_zero_shot,EPSTI1,CC,False
astrocytes,attention_zero_shot,KYNU,CC,True
astrocytes,attention_zero_shot,MT1M,CC,True
astrocytes,attention_zero_shot,CPA6,CC,True
astrocytes,attention_zero_shot,ABCA9,CC,True
astrocytes,ig_lora,AHCYL1,CC,True
astrocytes,ig_lora,CCL4,CC,True
astrocytes,ig_lora,ETNPPL,CC,True
astrocytes,ig_lora,CCL3,CC,True
astrocytes,ig_lora,CD163,CC,True
astrocytes,ig_lora,HES1,CC,True
astrocytes,ig_lora,FCGR2A,CC,True
astrocytes,ig_lora,ATP10A,CC,True
astrocytes,ig_lora,ADM,CC,True
astrocytes,ig_lora,SLC2A3,CC,True
astrocytes,ig_lora,OPALIN,CC,True
astrocytes,ig_lora,ID2,CC,True
astrocytes,ig_lora,HBB,CC,True
astrocytes,ig_lora,MS4A4A,CC,True
astrocytes,ig_lora,ATP6V0D2,CC,True
astrocytes,ig_lora,GLDN,CC,True
astrocytes,ig_lora,ADGRG6,CC,True
astrocytes,ig_lora,ID3,CC,True
astrocytes,ig_lora,SPP1,CC,True
astrocytes,ig_lora,SPOCD1,CC,True
astrocytes,ig_lora,RGS1,CC,True
astrocytes,ig_lora,TRDN,CC,True
astrocytes,ig_lora,ANGPTL4,CC,True
