reference,method,cell_type,go_source,distance,similarity
cad,attention_zero_shot,astrocytes,GO:MF,lin,0.7850296063885407
cad,attention_zero_shot,da_neurons,GO:MF,lin,0.8059652976102583
cad,attention_zero_shot,microglia,GO:MF,lin,0.8251809302486759
cad,attention_zero_shot,oligodendrocytes,GO:MF,lin,0.7953182282536037
cad,ig_lora,astrocytes,GO:MF,lin,0.7945520752179134
cad,ig_lora,da_neurons,GO:MF,lin,0.8106466790895854
cad,ig_lora,microglia,GO:MF,lin,0.7377444822734108
cad,ig_lora,oligodendrocytes,GO:MF,lin,0.7913528381422117
cad,attention_zero_shot,astrocytes,GO:MF,SimRel,0.493992628532381
cad,attention_zero_shot,da_neurons,GO:MF,SimRel,0.5025276697661535
cad,attention_zero_shot,microglia,GO:MF,SimRel,0.5210351571852385
cad,attention_zero_shot,oligodendrocytes,GO:MF,SimRel,0.4907976987094544
cad,ig_lora,astrocytes,GO:MF,SimRel,0.4929707513171212
cad,ig_lora,da_neurons,GO:MF,SimRel,0.48808451052153107
cad,ig_lora,microglia,GO:MF,SimRel,0.4374551218550146
cad,ig_lora,oligodendrocytes,GO:MF,SimRel,0.49549195990200984
cad,attention_zero_shot,astrocytes,GO:MF,wang,0.8003450025185304
cad,attention_zero_shot,da_neurons,GO:MF,wang,0.8186403000836694
cad,attention_zero_shot,microglia,GO:MF,wang,0.8274209188207935
cad,attention_zero_shot,oligodendrocytes,GO:MF,wang,0.8011778561007985
cad,ig_lora,astrocytes,GO:MF,wang,0.8040564852724995
cad,ig_lora,da_neurons,GO:MF,wang,0.8205230400273188
cad,ig_lora,microglia,GO:MF,wang,0.7587125110039563
cad,ig_lora,oligodendrocytes,GO:MF,wang,0.8017081286245166
