rank,gene,attention_score,predicted_attention,residual_attention,residual_zscore,expression_mean,expression_variance,dropout_rate
75,RBMS3,0.031715569420786016,0.005967267324404846,0.02574830209638117,1.3406822434875916,0.06704792154943075,0.23200604147416526,0.9797292654435512
553,CA10,0.003392759261392153,0.0059660116830788715,-0.0025732524216867184,-0.13398607088161166,0.04938816160251665,0.17676484727064792,0.985501271215557
254,TNFAIP8,0.017826684242413404,0.005965669724194711,0.011861014518218693,0.6175883557214926,0.07697939547109563,0.26368588300941237,0.9764996907854051
680,ENTPD1,-0.002188714142518866,0.005965488196641975,-0.008154202339160841,-0.4245792303118295,0.0881933322247459,0.29859145795145803,0.9728578300006872
518,CX3CR1,0.004720635748169721,0.005965451831477337,-0.0012448160833076153,-0.06481603381268763,0.05581872942658563,0.19627462784265196,0.9834398405826977
924,NPAS2,-0.01953159947478811,0.005964441832063818,-0.025496041306851926,-1.3275473361844239,0.06528563184387105,0.2266001546016845,0.9803476946334089
194,PSMA1,0.02103133847838945,0.005964202110953053,0.015067136367436396,0.7845271549329523,0.08685933145199619,0.2974093296277684,0.9732014017728303
593,CARMIL1,0.0013371467809421,0.005963142383249872,-0.004625995602307772,-0.24086986937043267,0.07754717946699385,0.26353730086545435,0.9764309764309764
378,AGBL1,0.011239943953489706,0.005963012757580681,0.0052769311959090254,0.274763280622502,0.16011451878750765,0.5159277061135703,0.9497698069126641
123,BRINP1,0.026700712019397277,0.0059621681885057036,0.020738543830891572,1.079830326900397,0.05733310038308644,0.2021872353314021,0.9829588401016972
617,ST8SIA4,0.0005868456624394947,0.005962094354217684,-0.005375248691778189,-0.2798825510288629,0.04691396196651394,0.17030934415535626,0.9863258434687006
113,MS4A6A,0.027594546355852234,0.00596203497411292,0.021632511381739314,1.1263781115733176,0.04835432653644662,0.17333975792368553,0.9859135573421288
915,CPVL,-0.018699098480298715,0.005960237790424797,-0.02465933627072351,-1.2839811398280563,0.08742195813608833,0.29612422835728247,0.9732014017728303
503,PLCXD3,0.005417253042902415,0.005959522464901577,-0.0005422694219991628,-0.028235298100016546,0.057560141041324,0.20214526794823687,0.9829588401016972
947,AEBP1,-0.022550556358192253,0.005958809353128109,-0.028509365711320362,-1.4844474109084365,0.04464632744370935,0.16243067428870317,0.9871504157218443
369,MED12L,0.011559417758817192,0.005958232700932279,0.005601185057884913,0.291646778163664,0.12308390648867451,0.4104223050087632,0.9615199615199616
506,EPHA6,0.005313904565923289,0.005957760654873355,-0.000643856088950066,-0.03352479020114059,0.09237903760329028,0.31186666406714675,0.9716209716209716
894,TAC1,-0.015789143642255143,0.00595774942557234,-0.021746893067827483,-1.132333824495461,0.04455623928132401,0.16340866759988298,0.9871504157218443
520,SLC2A3,0.0045395671415287,0.00595669608283963,-0.0014171289413109304,-0.0737881512045413,0.12155205068848919,0.40134328337452907,0.9622071050642479
110,RPH3A,0.028181972917987075,0.005953922742188406,0.02222805017579867,1.1573870799905246,0.08642122312240672,0.2935827709675176,0.9736136878994022
209,IL1RAP,0.020071045412080712,0.00595280647934351,0.014118238932737202,0.735119239147665,0.07720999726174545,0.2664605164387125,0.9765684051398337
940,NTNG1,-0.02178312370428459,0.005952647518139663,-0.027735771222424252,-1.4441673026884603,0.052856531845502236,0.18927152329279812,0.9845392702535559
270,MIS18BP1,0.016854364072826145,0.005951597002079829,0.010902767070746316,0.5676935963356267,0.17292748046052972,0.5580839264062604,0.9457156600013743
645,COL11A1,-0.0008863072735922906,0.005950155154440459,-0.00683646242803275,-0.355966142980038,0.0834828279132319,0.2859704067629631,0.9745756888614031
444,VIM,0.007527827027077716,0.005949584134501145,0.0015782428925765705,0.08217715537387785,0.058497026188003974,0.20698480207395362,0.9827526970384113
257,RHBDF2,0.017735344565527167,0.005948598913909641,0.011786745651617525,0.6137212676966816,0.06879908988683987,0.23816892919649618,0.9794544080258366
200,SERPINE2,0.02061233088926151,0.005948526637016638,0.014663804252244872,0.7635261505544318,0.23851485181879925,0.7468067273455186,0.9250326393183536
457,SLC6A11,0.007034100649283337,0.005945552152961478,0.0010885484963218586,0.05667937383719384,0.07508792051112541,0.25777109104478857,0.977461691747406
21,PDGFD,0.04266593160675081,0.005945542788968598,0.03672038881778221,1.911985228295115,0.042434302424462035,0.15879473628360186,0.987974987974988
167,WDR49,0.022705038372174302,0.005943278168340382,0.01676176020383392,0.8727641221063449,0.059877027835019664,0.21137363210326907,0.9824091252662681
834,WLS,-0.011573555316734652,0.0059392963602267704,-0.01751285167696142,-0.9118725261280066,0.09986905540103809,0.3373527794578728,0.9694221122792551
428,SCIN,0.00817368503102639,0.005938249507725176,0.002235435523301214,0.11639636280997756,0.049625013309933685,0.18083519220906968,0.9857761286332715
249,MSRB3,0.017990681494426286,0.005937452749096,0.012053228745330286,0.627596712787896,0.04803476955815817,0.17537916020335376,0.9863258434687006
930,ST6GALNAC5,-0.020555225510780817,0.005937336052241106,-0.026492561563021922,-1.3794349133816244,0.05957998619255083,0.2138938131290904,0.9824778396206968
456,GRIA1,0.007024360881104141,0.005934350550441988,0.0010900103306621537,0.05675548974322982,0.07610161966380256,0.2645838276781423,0.9771868343296914
538,SLC11A1,0.003963109307452473,0.005933623128783033,-0.00197051382133056,-0.10260221745557783,0.0615766320256612,0.22099131713091535,0.981859410430839
705,LRRK2,-0.003704409302202505,0.005933469270135702,-0.009637878572338207,-0.5018324166951373,0.06484280328864969,0.23040914657668524,0.9808286951144094
291,IRAK3,0.015389370738364883,0.005932850139880047,0.009456520598484836,0.4923893313083785,0.05509494877892625,0.19873044962843575,0.9840582697725555
796,TLR2,-0.008780088354932492,0.005932296744945204,-0.014712385099877694,-0.7660556952036747,0.04798190642696904,0.1761994215621309,0.9863945578231292
555,EYA1,0.003126575128274023,0.005931979563036458,-0.0028054044347624353,-0.146073939066297,0.06120739778798912,0.21649052691677423,0.9821342678485535
765,GPNMB,-0.006668868998023325,0.00593187691579134,-0.012600745913814666,-0.656105254556748,0.05637554976949279,0.20487478888107885,0.983577269291555
733,LRRK1,-0.0050834213554767915,0.005931006035584797,-0.01101442739106159,-0.5735076111078844,0.05773837698565072,0.2068813854567402,0.9832336975194118
140,SLA,0.025440105052582096,0.005930114130216335,0.01950999092236576,1.0158610964835655,0.0497010747848464,0.18230464842510738,0.9858448429877001
771,IQCA1,-0.007069527581488821,0.005929348978392919,-0.012998876559881741,-0.6768354248713719,0.08130793665407722,0.28010706179961015,0.9756064041778327
386,SHISA9,0.010757375997653362,0.005928763816215044,0.004828612181438318,0.2514198640403573,0.07277503767001006,0.2562941114689534,0.9782862640005497
575,RFX4,0.0021991725074009816,0.005926678284297896,-0.0037275057768969147,-0.1940866154543655,0.09707259561136929,0.3293541159913717,0.9705215419501134
468,SCN1A,0.006676055628271227,0.0059261020029805316,0.0007499536252906953,0.03904915769213576,0.07889786733650807,0.2748133611099441,0.9763622620765477
473,KLHL29,0.006487578876432365,0.005926048506936859,0.0005615303694955056,0.02923819181333182,0.08619623426272705,0.2966026092932606,0.974025974025974
302,DCLK2,0.014712866463544638,0.005923634114800349,0.00878923234874429,0.45764445747684146,0.38019387158862156,1.14604421183954,0.8809867381295953
163,LRFN5,0.022798911723501458,0.0059233924090295815,0.016875519314471878,0.878687418294822,0.08597497859179211,0.29538937736887133,0.9741634027348313
376,OSBPL3,0.011302671543930498,0.005922467388884493,0.005380204155046005,0.2801405758720722,0.0682152859052713,0.24054663965965237,0.979935408506837
995,FREM2,-0.04683582524695634,0.0059207295755995815,-0.05275655482255592,-2.7469685579043035,0.052749223958616184,0.19166767717308983,0.9850202707345564
389,TNC,0.010356806594427614,0.005920038740998917,0.004436767853428698,0.23101701453178097,0.07908278770989847,0.27656010471450987,0.9763622620765477
737,ADAMTS17,-0.005405288723669743,0.005919581374786209,-0.011324870098455952,-0.5896719789122505,0.0923700072193334,0.3147562584384418,0.9721706864564007
374,SAMSN1,0.011392582313383026,0.005913790386129281,0.005478791927253745,0.28527391923308915,0.06281006393304976,0.22689032338387738,0.9817219817219818
70,FLRT2,0.03217479257458311,0.00591358283371593,0.02626120974086718,1.3673887101484783,0.07855882206047364,0.2732827251808913,0.976705833848691
937,MSR1,-0.021687165824209376,0.005913207012222406,-0.027600372836431783,-1.4371172761967137,0.08834717142829987,0.3070119256881214,0.9734075448361162
612,FCGR3A,0.0006626387325332495,0.005912042594573338,-0.005249403862040088,-0.27332996639500834,0.057711560724297346,0.21021086298181277,0.9834398405826977
659,TGFBR1,-0.0015012249435476521,0.00591164670988778,-0.007412871653435432,-0.38597905841761265,0.25610532640059525,0.8052486869904799,0.919810348381777
563,RBM47,0.0026075142964157028,0.00591115759437407,-0.0033036432979583674,-0.17201662042842505,0.08394648194142688,0.2920944960561242,0.9749192606335464
172,CACNB2,0.022482842458881547,0.0059094509528504775,0.01657339150603107,0.8629559969947224,0.23188181496876034,0.735552310393111,0.9275063560777846
